1 	22504974.806	13900127.123	-2557240.727
2 	-3760396.280   	-17947593.853   19494169.070
4  	9355256.428   	-12616043.006   21189549.365
7  	23959436.524   	5078878.903   	-10562274.680
10 	10228692.060  	-19322124.315   14550804.347
13 	23867142.480   	-3892848.382  	10941892.224
17 	21493427.163 	-15051899.636  	3348924.156
20 	14198354.868 	13792955.212 	17579451.054
23 	18493109.722 	4172695.812 	18776775.463
31 	-8106932.299 	12484531.565  	22195338.169
32	8363810.808 	21755378.568 	13378858.106
